**marca** | **admis la** |
| --------- | ------------ |
| 14-6951   | AES          |
| 14-6968   | AES          |
| 14-6973   | AES          |
| 14-6977   | AES          |
| 14-7022   | AES          |
| 14-7031   | AES          |
| 14-7035   | AES          |
| 14-7045   | AES          |
| 14-7050   | AES          |
| 14-7063   | AES          |
| 14-7073   | AES          |
| 14-7090   | AES          |
| 14-7106   | AES          |
| 14-7109   | AES          |
| 14-7114   | AES          |
| 14-7122   | AES          |
| 14-7124   | AES          |
| 14-7129   | AES          |
| 14-6504   | CCIOT        |
| 14-6522   | CCIOT        |
| 14-6541   | CCIOT        |
| 14-6545   | CCIOT        |
| 14-6553   | CCIOT        |
| 14-6564   | CCIOT        |
| 14-6576   | CCIOT        |
| 14-6587   | CCIOT        |
| 14-6591   | CCIOT        |
| 14-6597   | CCIOT        |
| 14-6601   | CCIOT        |
| 14-6604   | CCIOT        |
| 14-6610   | CCIOT        |
| 14-6611   | CCIOT        |
| 14-6612   | CCIOT        |
| 14-6614   | CCIOT        |
| 14-6618   | CCIOT        |
| 14-6956   | ISA          |
| 14-6960   | ISA          |
| 14-6966   | ISA          |
| 14-6967   | ISA          |
| 14-6983   | ISA          |
| 14-6985   | ISA          |
| 14-7002   | ISA          |
| 14-7049   | ISA          |
| 14-7054   | ISA          |
| 14-7062   | ISA          |
| 14-7064   | ISA          |
| 14-7079   | ISA          |
| 14-7080   | ISA          |
| 14-7082   | ISA          |
| 14-7091   | ISA          |
| 14-7104   | ISA          |
| 14-7113   | ISA          |
| 14-7120   | ISA          |
| 14-6529   | IT           |
| 14-6532   | IT           |
| 14-6536   | IT           |
| 14-6570   | IT           |
| 14-6574   | IT           |
| 14-6577   | IT           |
| 14-6590   | IT           |
| 14-6509   | ML           |
| 14-6510   | ML           |
| 14-6513   | ML           |
| 14-6515   | ML           |
| 14-6517   | ML           |
| 14-6519   | ML           |
| 14-6524   | ML           |
| 14-6526   | ML           |
| 14-6527   | ML           |
| 14-6530   | ML           |
| 14-6531   | ML           |
| 14-6534   | ML           |
| 14-6537   | ML           |
| 14-6540   | ML           |
| 14-6542   | ML           |
| 14-6543   | ML           |
| 14-6550   | ML           |
| 14-6551   | ML           |
| 14-6552   | ML           |
| 14-6555   | ML           |
| 14-6556   | ML           |
| 14-6559   | ML           |
| 14-6560   | ML           |
| 14-6561   | ML           |
| 14-6565   | ML           |
| 14-6566   | ML           |
| 14-6572   | ML           |
| 14-6575   | ML           |
| 14-6578   | ML           |
| 14-6581   | ML           |
| 14-6582   | ML           |
| 14-6585   | ML           |
| 14-6586   | ML           |
| 14-6593   | ML           |
| 14-6594   | ML           |
| 14-6598   | ML           |
| 14-6599   | ML           |
| 14-6600   | ML           |
| 14-6603   | ML           |
| 14-6607   | ML           |
| 14-6501   | SE           |
| 14-6502   | SE           |
| 14-6503   | SE           |
| 14-6506   | SE           |
| 14-6507   | SE           |
| 14-6512   | SE           |
| 14-6514   | SE           |
| 14-6516   | SE           |
| 14-6518   | SE           |
| 14-6520   | SE           |
| 14-6521   | SE           |
| 14-6523   | SE           |
| 14-6525   | SE           |
| 14-6528   | SE           |
| 14-6533   | SE           |
