Programarea la interviu online (Zoom) pentru candidați **AES, ISA, SIAPS, SISC, sau TI**, marți 12 iulie 2022
		
Nota: informațiile de conectare vor fi trimise prin e-mail de către secretarul de comisie la adresele înregistrate de candidați la înscriere. Verificați inclusiv folderul SPAM!		


## Comisia 6 ##

Secretar: lorena.hedrea@upt.ro


| ora   | marca   |
|-------|---------|
| 09:00 | 6M-0001 |
| 09:05 | 6M-0009 |
| 09:10 | 6M-0010 |
| 09:15 | 6M-0011 |
| 09:20 | 6M-0017 |
| 09:25 | 6M-0020 |
| 09:30 | 6M-0021 |
| 09:35 | 6M-0023 |
| 09:40 | 6M-0024 |
| 09:45 | 6M-0035 |
| 09:50 | 6M-0036 |
| 09:55 | 6M-0037 |
| 10:00 | 6M-0038 |
| 10:05 | 6M-0039 |
| 10:10 | 6M-0040 |
| 10:15 | 6M-0051 |
| 10:20 | 6M-0053 |
| 10:25 | 6M-0056 |
| 10:30 | 6M-0057 |
| 10:35 | 6M-0058 |
| 10:40 | 6M-0059 |
| 10:45 | 6M-0060 |
| 10:50 | 6M-0062 |
| 10:55 | 6M-0063 |
| 11:00 | 6M-0065 |
| 11:05 | 6M-0066 |
| 11:10 | 6M-0067 |
| 11:15 | 6M-0068 |
| 11:20 | 6M-0069 |
| 11:25 | 6M-0070 |
| 11:30 | 6M-0071 |
| 11:35 | 6M-0074 |
| 11:40 | 6M-0075 |
| 11:45 | 6M-0076 |
| 11:50 | 6M-0077 |
| 11:55 | 6M-0078 |


## Comisia 7 ##

Secretar: camil.jichici@upt.ro

Topic: Admitere Master - 12.07.2022 - Ora 9:00
Time: Jul 12, 2022 09:00 AM Bucharest
Join Zoom Meeting ID: 971 4294 3766
https://upt-ro.zoom.us/j/97142943766


| ora   | marca   |
|-------|---------|
| 09:00 | 6M-0083 |
| 09:05 | 6M-0087 |
| 09:10 | 6M-0088 |
| 09:15 | 6M-0090 |
| 09:20 | 6M-0097 |
| 09:25 | 6M-0103 |
| 09:30 | 6M-0106 |
| 09:35 | 6M-0108 |
| 09:40 | 6M-0110 |
| 09:45 | 6M-0112 |
| 09:50 | 6M-0114 |
| 09:55 | 6M-0115 |
| 10:00 | 6M-0118 |
| 10:05 | 6M-0121 |
| 10:10 | 6M-0122 |
| 10:15 | 6M-0125 |
| 10:20 | 6M-0127 |
| 10:25 | 6M-0131 |
| 10:30 | 6M-0135 |
| 10:35 | 6M-0137 |
| 10:40 | 6M-0139 |
| 10:45 | 6M-0141 |
| 10:50 | 6M-0143 |
| 10:55 | 6M-0145 |
| 11:00 | 6M-0149 |
| 11:05 | 6M-0152 |
| 11:10 | 6M-0154 |
| 11:15 | 6M-0156 |
| 11:20 | 6M-0157 |
| 11:25 | 6M-0167 |
| 11:30 | 6M-0169 |
| 11:35 | 6M-0171 |
| 11:40 | 6M-0173 |
| 11:45 | 6M-0174 |
| 11:50 | 6M-0177 |
| 11:55 | 6M-0178 |



## Comisia 8 ##

Secretar: raul-cristian.roman@upt.ro

Topic: Examen admitere master IS - 12.07.2022
Time: Jul 12, 2022 09:00 AM Bucharest
Join Zoom Meeting ID: 992 2060 8946
https://upt-ro.zoom.us/j/99220608946


| ora   | marca   |
|-------|---------|
| 09:00 | 6M-0183 |
| 09:05 | 6M-0188 | (doar test de compentențe lingvistice)
| 09:10 | 6M-0190 |
| 09:15 | 6M-0192 |
| 09:20 | 6M-0193 |
| 09:25 | 6M-0198 |
| 09:30 | 6M-0200 |
| 09:35 | 6M-0204 |
| 09:40 | 6M-0206 |
| 09:45 | 6M-0207 |
| 09:50 | 6M-0209 |
| 09:55 | 6M-0211 |
| 10:00 | 6M-0213 |
| 10:05 | 6M-0214 |
| 10:10 | 6M-0216 |
| 10:15 | 6M-0217 |
| 10:20 | 6M-0219 |
| 10:25 | 6M-0223 |
| 10:30 | 6M-0229 |
| 10:35 | 6M-0231 |
| 10:40 | 6M-0234 |
| 10:45 | 6M-0237 |
| 10:50 | 6M-0239 |
| 10:55 | 6M-0244 |
| 11:00 | 6M-0245 |
| 11:05 | 6M-0250 |
| 11:10 | 6M-0257 |
| 11:15 | 6M-1258 |
| 11:20 | 6M-0259 |
| 11:25 | 6M-0262 |
| 11:30 | 6M-0263 |
| 11:35 | ROP-15  |
| 11:40 | ROP-26  |
| 11:45 | ROP-36  |
